segment_index,time_hours,start_time_hours,end_time_hours,stage,dominant_emotion,bizarreness_score,lucidity_probability,is_lucid,generation_mode,llm_trigger_type,llm_latency_ms,llm_fallback_reason,template_bank,ach,serotonin,ne,cortisol,narrative,scene_description,active_memory_ids
b9af1baa-4423-48b2-a593-442dfe7d7483,0.0,0.0,0.008333,N1,calm,0.418,0.0,False,TEMPLATE,,,,n1_any_01,0.4864,0.3618,0.3221,0.34,"At 0.000h, a faint edge of wakefulness keeps intruding. I pass through short-lived scenes where.",A calm dreamscape at N1 depth.,
5fdcd55b-2b38-4fac-ad2c-17383a947520,0.008333,0.008333,0.016667,N1,curious,0.361,0.0,False,TEMPLATE,,,,n1_curious_01,0.4775,0.3701,0.2989,0.3482,"At 0.008h, small sensory flashes arrive and vanish quickly. Every small image arrives like a.",A curious dreamscape at N1 depth.,
a334ebe8-6441-43b0-8f6d-8db2c58b58ad,0.016667,0.016667,0.025,N1,calm,0.365,0.0,False,TEMPLATE,,,,n1_neutral_01,0.4731,0.3753,0.3075,0.3665,"At 0.017h, the scene blurs as attention slips in and out. At the edge of.",A calm dreamscape at N1 depth.,
521fefbc-1b27-4a91-b45c-af0fb5426f55,0.025,0.025,0.033333,N1,calm,0.378,0.0,False,TEMPLATE,,,,n1_any_01,0.5252,0.3609,0.2715,0.3692,"At 0.025h, a faint edge of wakefulness keeps intruding. I pass through short-lived scenes where.",A calm dreamscape at N1 depth.,
8817fac9-3be3-4798-822b-23af65d9d166,0.033333,0.033333,0.041667,N1,serene,0.411,0.0,False,TEMPLATE,,,,n1_serene_01,0.5033,0.3741,0.3066,0.3239,"At 0.033h, small sensory flashes arrive and vanish quickly. The world narrows to floating textures.",A serene dreamscape at N1 depth.,mem::familiar_face
78c946bf-b0f1-4145-a435-b602823a5df0,0.041667,0.041667,0.05,N1,melancholic,0.424,0.0,False,TEMPLATE,,,,n1_any_01,0.4755,0.3534,0.3035,0.3889,"At 0.042h, the scene blurs as attention slips in and out. I pass through short-lived.",A melancholic dreamscape at N1 depth.,mem::familiar_face|mem::being_chased
7e0a77cf-d2a9-4fcd-a29b-8822788fde0e,0.05,0.05,0.058333,N1,melancholic,0.383,0.0,False,TEMPLATE,,,,n1_melancholic_01,0.5042,0.3268,0.2874,0.3312,"At 0.050h, a faint edge of wakefulness keeps intruding. I drift through dim fragments of.",A melancholic dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
4e340239-7d96-436b-82df-b3e3a2c2cf4e,0.058333,0.058333,0.066667,N1,melancholic,0.407,0.0,False,TEMPLATE,,,,n1_any_01,0.4888,0.3782,0.3413,0.317,"At 0.058h, small sensory flashes arrive and vanish quickly. I pass through short-lived scenes where.",A melancholic dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
dea8d546-5f99-4678-b2c7-661324856d16,0.066667,0.066667,0.075,N1,neutral,0.395,0.0,False,TEMPLATE,,,,n1_neutral_01,0.4706,0.3603,0.32,0.3609,"At 0.067h, the scene blurs as attention slips in and out. At the edge of.",A neutral dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
217ffa1b-04a5-4cc9-a3af-413e241bf887,0.075,0.075,0.083333,N1,curious,0.344,0.0,False,TEMPLATE,,,,n1_any_01,0.492,0.3472,0.3,0.3751,"At 0.075h, a faint edge of wakefulness keeps intruding. I pass through short-lived scenes where.",A curious dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
afa103c0-a21d-440d-a9e1-4caaa3df5455,0.083333,0.083333,0.091667,N1,neutral,0.365,0.0,False,TEMPLATE,,,,n1_neutral_01,0.499,0.3366,0.2993,0.3133,"At 0.083h, small sensory flashes arrive and vanish quickly. At the edge of sleep I.",A neutral dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
9498295a-ad99-435d-93df-81898cbd4675,0.091667,0.091667,0.1,N1,calm,0.309,0.0,False,TEMPLATE,,,,n1_any_01,0.4925,0.3582,0.3103,0.3213,"At 0.092h, the scene blurs as attention slips in and out. I pass through short-lived.",A calm dreamscape at N1 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
3b362cb0-95ca-4fdb-bad9-b713634d0203,0.1,0.1,0.108333,N3,calm,0.333,0.0,False,TEMPLATE,,,,n3_any_01,0.3143,0.2536,0.2203,0.3796,"At 0.100h, wordless imagery pulses through heavy darkness. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A calm dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
eb018c93-0615-45c6-9efd-29f3f815b1e0,0.108333,0.108333,0.116667,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.3055,0.2242,0.143,0.3418,"At 0.108h, slow symbolic flashes appear without clear sequence. Experience compresses into sparse sensations and broad, dark spaces where time.",A neutral dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
f1b3aa51-23af-4d42-bb58-9192b78ba033,0.116667,0.116667,0.125,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_any_01,0.2925,0.2594,0.2023,0.3699,"At 0.117h, near-silent sensations drift and dissolve. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative complexity;.",A calm dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
180d4fa3-f785-48ae-9c05-3a1cdf35ba79,0.125,0.125,0.133333,N3,neutral,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.2819,0.2379,0.1852,0.3302,"At 0.125h, deep textures replace coherent plot structure. Experience compresses into sparse sensations and broad, dark spaces where time is.",A neutral dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
890a146f-292d-447e-90f9-59b5eb431145,0.133333,0.133333,0.141667,N3,curious,0.338,0.0,False,TEMPLATE,,,,n3_any_01,0.2876,0.2202,0.2181,0.3074,"At 0.133h, wordless imagery pulses through heavy darkness. The dream layer is diffuse and low-detail, prioritizing bodily depth over narrative.",A curious dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
ede099cd-322f-441b-b796-cd28c6d4ea87,0.141667,0.141667,0.15,N3,calm,0.35,0.0,False,TEMPLATE,,,,n3_neutral_01,0.3291,0.2048,0.1636,0.3686,"At 0.142h, slow symbolic flashes appear without clear sequence. Experience compresses into sparse sensations and broad, dark spaces where time.",A calm dreamscape at N3 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
282145c9-f5ba-4299-a1a0-5e79b6d8e069,0.15,0.15,0.158333,N2,neutral,0.443,0.0,False,TEMPLATE,,,,n2_neutral_01,0.4531,0.3453,0.2352,0.3317,"At 0.150h, memory fragments overlap in unstable sequences. I move through stitched-together scenes where ordinary settings recur with slight distortions, as if memory is editing itself in place; the narrative advances in stable fragments, and.",A neutral dreamscape at N2 depth.,mem::being_chased|mem::falling|mem::grief|mem::loud_crowd|mem::being_late
